Date,Equipment,Handedness,"Swing Details","Plane Score","Connection Score","Rotation Score","Bat Speed (mph)","Rotational Acceleration (g)","On Plane Efficiency (%)","Attack Angle (deg)","Early Connection (deg)","Connection at Impact (deg)","Vertical Bat Angle (deg)","Power (kW)","Time to Contact (sec)","Peak Hand Speed (mph)","Exit Velocity (mph)","Launch Angle (deg)","Estimated Distance (feet)"
"Jan 22, 2022 06:06:28 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",70,46,54,66.9,14.7,87,2,70,81,-27,3.89,0.14,21.1,,,
"Jan 22, 2022 06:06:18 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",63,46,60,62.1,16.9,79,-3,72,79,-32,3.21,0.15,19.7,,,
"Jan 22, 2022 06:06:08 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",63,49,54,66.1,14.3,80,4,73,81,-28,3.79,0.14,20.2,,,
"Jan 22, 2022 06:05:57 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",51,43,50,63.9,13,68,13,71,77,-28,2.96,0.17,20.1,,,
"Jan 22, 2022 06:05:22 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",70,43,57,65.7,15.7,87,9,68,79,-25,3.6,0.15,21,,,
"Jan 19, 2022 09:17:13 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",65,47,45,67.2,10.8,82,-2,84,68,-25,3.82,0.15,19.3,,,
"Jan 19, 2022 09:16:56 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",68,52,40,61.4,8.9,85,-4,86,72,-27,2.98,0.16,17.7,,,
"Jan 19, 2022 09:16:47 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",60,54,40,63,8.7,76,-4,89,72,-23,3.35,0.15,17.4,,,
"Jan 19, 2022 09:16:37 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",51,50,51,63.7,13.3,68,-3,87,68,-27,3.38,0.15,18,,,
"Jan 19, 2022 09:16:30 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",54,50,53,61.8,14.1,71,8,87,69,-23,2.94,0.16,18.9,,,
"Jan 19, 2022 09:16:22 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",55,52,39,66.3,8.5,72,-10,91,71,-28,4.16,0.13,17.7,,,
"Jan 19, 2022 09:16:14 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",61,47,55,65.6,14.9,78,-3,82,71,-28,3.96,0.13,17.6,,,
"Jan 19, 2022 09:16:03 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",72,47,56,59.2,15.2,89,4,76,76,-29,2.88,0.15,18.9,,,
"Jan 19, 2022 09:15:56 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",68,47,51,65.4,13.4,84,-1,76,77,-26,3.51,0.15,19.6,,,
"Jan 19, 2022 09:15:43 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",70,42,47,62,11.6,87,-6,73,72,-29,3.16,0.15,18.8,,,
"Jan 19, 2022 09:15:36 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",66,43,53,64.6,14.1,83,-1,74,72,-32,3.62,0.14,20.1,,,
"Jan 19, 2022 09:15:28 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",63,45,54,63.6,14.5,80,-4,75,74,-28,3.51,0.14,18.2,,,
"Jan 19, 2022 09:15:14 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",65,42,57,63,15.6,82,-3,71,74,-27,3.35,0.15,18.7,,,
"Jan 19, 2022 09:07:54 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",69,46,47,63.7,11.8,86,5,70,80,-26,3.09,0.16,20.1,,,
"Jan 19, 2022 09:07:42 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",73,45,55,64.1,14.8,90,-7,72,77,-28,3.51,0.14,20.9,,,
"Jan 19, 2022 09:07:35 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",70,41,47,61.1,11.6,87,-7,72,72,-31,3.03,0.15,20.3,,,
"Jan 19, 2022 09:07:30 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",61,48,52,61.4,13.8,78,-6,79,74,-32,3.22,0.14,18.7,,,
"Jan 19, 2022 09:07:21 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",66,46,48,63.8,12.1,83,2,75,76,-26,3.02,0.17,19.1,,,
"Jan 19, 2022 09:07:14 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",65,47,54,63.3,14.4,82,-5,75,77,-32,3.53,0.14,18.7,,,
"Jan 19, 2022 09:07:08 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",61,58,52,64.7,13.6,78,2,81,82,-28,3.59,0.14,18.3,,,
"Jan 19, 2022 09:06:37 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",69,49,52,69.4,13.8,86,1,72,83,-31,4.57,0.13,20.2,,,
"Jan 19, 2022 09:06:29 PM","Avenge Pro Composite BBCOR",Right,"Pitching Machine",60,52,41,62.7,9.1,77,-2,82,75,-29,2.99,0.16,18.4,,,
